seller_id,total_orders,under_count,avg_delta_days,under_rate_pct
S001,86,30,1.1,34.883720930232556
S002,93,29,1.206896551724138,31.182795698924732
S003,95,36,1.3611111111111112,37.89473684210527
S004,100,33,1.303030303030303,33.0
S005,105,25,1.2,23.809523809523807
S006,98,31,1.096774193548387,31.63265306122449
S007,119,47,1.2765957446808511,39.49579831932773
S008,120,38,1.2894736842105263,31.666666666666664
S009,99,36,1.2222222222222223,36.36363636363637
S010,79,25,1.24,31.645569620253166
S011,88,30,1.2,34.090909090909086
S012,112,34,1.2647058823529411,30.357142857142854
S013,114,30,1.2,26.31578947368421
S014,99,29,1.103448275862069,29.292929292929294
S015,96,35,1.1142857142857143,36.45833333333333
S016,88,28,1.25,31.818181818181817
S017,113,31,1.3548387096774193,27.43362831858407
S018,112,29,1.1724137931034482,25.892857142857146
S019,86,37,1.2162162162162162,43.02325581395349
S020,92,24,1.2916666666666667,26.08695652173913
S021,111,36,1.25,32.432432432432435
S022,100,26,1.2307692307692308,26.0
S023,82,20,1.05,24.390243902439025
S024,110,32,1.21875,29.09090909090909
S025,102,36,1.2777777777777777,35.294117647058826
S026,89,27,1.2222222222222223,30.337078651685395
S027,101,37,1.3783783783783783,36.633663366336634
S028,91,24,1.2083333333333333,26.373626373626376
S029,101,37,1.2702702702702702,36.633663366336634
S030,93,27,1.2222222222222223,29.03225806451613
S031,111,30,1.2,27.027027027027028
S032,107,27,1.5555555555555556,25.233644859813083
S033,98,16,1.3125,16.3265306122449
S034,102,21,1.380952380952381,20.588235294117645
S035,112,29,1.2413793103448276,25.892857142857146
S036,100,32,1.0625,32.0
S037,99,32,1.1875,32.323232323232325
S038,90,26,1.3076923076923077,28.888888888888886
S039,86,24,1.4583333333333333,27.906976744186046
S040,97,41,1.170731707317073,42.2680412371134
S041,84,27,1.1481481481481481,32.142857142857146
S042,93,31,1.3548387096774193,33.33333333333333
S043,96,27,1.2592592592592593,28.125
S044,85,30,1.2666666666666666,35.294117647058826
S045,104,35,1.3142857142857143,33.65384615384615
S046,112,33,1.2121212121212122,29.464285714285715
S047,96,35,1.2,36.45833333333333
S048,101,32,1.25,31.683168316831683
S049,106,32,1.21875,30.18867924528302
S050,104,32,1.21875,30.76923076923077
S051,115,40,1.25,34.78260869565217
S052,131,36,1.1666666666666667,27.480916030534353
S053,117,28,1.3214285714285714,23.931623931623932
S054,86,23,1.0434782608695652,26.744186046511626
S055,103,34,1.1764705882352942,33.00970873786408
S056,97,33,1.0909090909090908,34.02061855670103
S057,94,16,1.1875,17.02127659574468
S058,102,36,1.1944444444444444,35.294117647058826
S059,112,34,1.2352941176470589,30.357142857142854
S060,87,29,1.2413793103448276,33.33333333333333
S061,100,25,1.24,25.0
S062,95,35,1.1714285714285715,36.84210526315789
S063,101,39,1.3333333333333333,38.613861386138616
S064,107,36,1.3055555555555556,33.64485981308411
S065,83,28,1.3214285714285714,33.734939759036145
S066,116,34,1.2647058823529411,29.310344827586203
S067,84,24,1.2083333333333333,28.57142857142857
S068,99,27,1.3333333333333333,27.27272727272727
S069,115,43,1.2790697674418605,37.391304347826086
S070,94,30,1.3333333333333333,31.914893617021278
S071,107,37,1.3243243243243243,34.57943925233645
S072,95,35,1.2571428571428571,36.84210526315789
S073,91,29,1.3103448275862069,31.868131868131865
S074,85,29,1.103448275862069,34.11764705882353
S075,89,28,1.3571428571428572,31.46067415730337
S076,102,31,1.1612903225806452,30.392156862745097
S077,101,38,1.236842105263158,37.62376237623762
S078,94,28,1.25,29.78723404255319
S079,99,27,1.1481481481481481,27.27272727272727
S080,95,22,1.0909090909090908,23.157894736842106
S081,95,33,1.121212121212121,34.73684210526316
S082,103,33,1.1515151515151516,32.038834951456316
S083,106,39,1.205128205128205,36.79245283018868
S084,120,36,1.2222222222222223,30.0
S085,90,24,1.25,26.666666666666668
S086,101,30,1.2666666666666666,29.7029702970297
S087,108,29,1.2413793103448276,26.851851851851855
S088,85,27,1.3333333333333333,31.76470588235294
S089,97,30,1.1333333333333333,30.927835051546392
S090,99,30,1.2333333333333334,30.303030303030305
S091,104,33,1.2727272727272727,31.73076923076923
S092,113,31,1.1612903225806452,27.43362831858407
S093,90,34,1.2647058823529411,37.77777777777778
S094,101,29,1.3793103448275863,28.71287128712871
S095,100,35,1.2285714285714286,35.0
S096,109,37,1.2972972972972974,33.94495412844037
S097,108,38,1.3157894736842106,35.18518518518518
S098,111,37,1.3243243243243243,33.33333333333333
S099,110,32,1.375,29.09090909090909
S100,97,31,1.2903225806451613,31.958762886597935
